Ghar Aaya Mera Pardesi 1993 Mp3 Songs,1993,Bollywood,Vipin Sachdeva,Pankaj Udhas,Pankaj UdhasVipin Sachdeva,None
Gumraah 1993 Mp3 Songs,1993,Bollywood,"Laxmikant - Pyarelal, Roopkumar Rathod",Laxmikant - Pyarelal,"Laxmikant - PyarelalLaxmikant - Pyarelal, Roopkumar Rathod",Anthem
Gunaah 1993 Mp3 Songs,1993,Bollywood,Mohammed Aziz,Laxmikant - Pyarelal,Laxmikant - PyarelalMohammed Aziz,Anthem
Gurudev 1993 Mp3 Songs,1993,Bollywood,"Asha Bhosle, R. D. Burman",Asha Bhosle,"Asha BhosleAsha Bhosle, R. D. Burman",Soul
Hasti 1993 Mp3 Songs,1993,Bollywood,"Anand-Milind, Udit Narayan, Abhijeet, Mukul Agarwal",Anand-Milind,"Anand-MilindAnand-Milind, Udit Narayan, Abhijeet, Mukul Agarwal",Pop
Hum Hain Kamaal Ke 1993 Mp3 Songs,1993,Bollywood,Pagalfree,Anand-Milind,Anand-MilindPagalfree,Pop
Aashiq Dil Hi Toh Hai 1963 Mp3 Songs,1963,Bollywood,Mukesh,None,NoneMukesh,Soul
Akeli Mat Jaiyo 1963 Mp3 Songs,1963,Bollywood,"Lata Mangeshkar, Madan Mohan",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Madan Mohan",None
Awara Abdulla 1963 Mp3 Songs,1963,Bollywood,"Asha Bhosle, Usha Mangeshkar",Asha Bhosle,"Asha BhosleAsha Bhosle, Usha Mangeshkar",Soul
Bachpan (1963) 1963 Mp3 Songs,1963,Bollywood,Kishore Kumar,None,NoneKishore Kumar,Soul
Bahurani 1963 Mp3 Songs,1963,Bollywood,Lata Mangeshkar,None,NoneLata Mangeshkar,Soul
Bandini 1963 Mp3 Songs,1963,Bollywood,"Asha Bhosle, S. D. Burman",Asha Bhosle,"Asha BhosleAsha Bhosle, S. D. Burman",Soul
Been Ka Jadoo 1963 Mp3 Songs,1963,Bollywood,"Suman Kalyanpur, Mahendra Kapoor",Suman Kalyanpur,"Suman KalyanpurSuman Kalyanpur, Mahendra Kapoor",None
Begaanaa 1963 Mp3 Songs,1963,Bollywood,"Anu Malik, Kishore Kumar",Anu Malik,"Anu MalikAnu Malik, Kishore Kumar",Makeover
Bharosa 1963 Mp3 Songs,1963,Bollywood,"Ravi, Lata Mangeshkar, Mahendra Kapoor",Ravi,"RaviRavi, Lata Mangeshkar, Mahendra Kapoor",Instrumental
Bhootnath (1963) 1963 Mp3 Songs,1963,Bollywood,Usha Mangeshkar,None,NoneUsha Mangeshkar,Soul
Bin Badal Barsaat 1963 Mp3 Songs,1963,Bollywood,"Hemant Kumar, Asha Bhosle",Hemant Kumar,"Hemant KumarHemant Kumar, Asha Bhosle",None
Bluff Master (1963) 1963 Mp3 Songs,1963,Bollywood,Hemant Kumar,None,NoneHemant Kumar,Soul
Captain Azad 1963 Mp3 Songs,1963,Bollywood,Kabban Mirza,None,NoneKabban Mirza,Soul
Captain Sheroo 1963 Mp3 Songs,1963,Bollywood,Suman Kalyanpur,None,NoneSuman Kalyanpur,Soul
Cobra Girl 1963 Mp3 Songs,1963,Bollywood,Asha Bhosle,None,NoneAsha Bhosle,Soul
Ek Dil Sau Afsane 1963 Mp3 Songs,1963,Bollywood,"Lata Mangeshkar, Shankar-Jaikishan",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Shankar-Jaikishan",None
Faulad 1963 Mp3 Songs,1963,Bollywood,Mohammed Rafi,None,NoneMohammed Rafi,Soul
First Love 1963 Mp3 Songs,1963,Bollywood,Suman Kalyanpur,None,NoneSuman Kalyanpur,Soul
Gehra Daag 1963 Mp3 Songs,1963,Bollywood,"Mohammed Rafi, Ravi",Mohammed Rafi,"Mohammed RafiMohammed Rafi, Ravi",Instrumental
Ghar Basake Dekho 1963 Mp3 Songs,1963,Bollywood,"Suman Kalyanpur, Usha Mangeshkar",Suman Kalyanpur,"Suman KalyanpurSuman Kalyanpur, Usha Mangeshkar",None
Godaan 1963 Mp3 Songs,1963,Bollywood,Lata Mangeshkar,None,NoneLata Mangeshkar,Soul
Grihasthi (1963) 1963 Mp3 Songs,1963,Bollywood,"Geeta Dutt, Ravi",Geeta Dutt,"Geeta DuttGeeta Dutt, Ravi",None
Gul-E-Bakawali 1963 Mp3 Songs,1963,Bollywood,"Talat Mahmood, Jikki",Talat Mahmood,"Talat MahmoodTalat Mahmood, Jikki",Pop
Gumrah (1963) 1963 Mp3 Songs,1963,Bollywood,"Mahendra Kapoor, Asha Bhosle",Mahendra Kapoor,"Mahendra KapoorMahendra Kapoor, Asha Bhosle",None
Holiday In Bombay 1963 Mp3 Songs,1963,Bollywood,Mukesh,None,NoneMukesh,Soul
Humrahi Sasural 1963 Mp3 Songs,1963,Bollywood,"Shankar-Jaikishan, Lata Mangeshkar, Mukesh",Shankar-Jaikishan,"Shankar-JaikishanShankar-Jaikishan, Lata Mangeshkar, Mukesh",Country
Jab Se Tumhen Dekha Hai 1963 Mp3 Songs,1963,Bollywood,"Asha Bhosle, Mohammed Rafi",Asha Bhosle,"Asha BhosleAsha Bhosle, Mohammed Rafi",Soul
Kahin Pyar Na Ho Jaye (1963) 1963 Mp3 Songs,1963,Bollywood,Mohammed Rafi,None,NoneMohammed Rafi,Soul
Kan Kan Mein Bhagwan 1963 Mp3 Songs,1963,Bollywood,"Suman Kalyanpur, Pt. Shivram Krishna",Suman Kalyanpur,"Suman KalyanpurSuman Kalyanpur, Pt. Shivram Krishna",None
Magic Box 1963 Mp3 Songs,1963,Bollywood,"Bulo C. Rani, Suman Kalyanpur, Manna Dey",Bulo C. Rani,"Bulo C. RaniBulo C. Rani, Suman Kalyanpur, Manna Dey",Instrumental
Mere Mehboob 1963 Mp3 Songs,1963,Bollywood,"Naushad, Mohammed Rafi",Naushad,"NaushadNaushad, Mohammed Rafi",Pop
Mujhe Jeene Do 1963 Mp3 Songs,1963,Bollywood,Mohammed Rafi,None,NoneMohammed Rafi,Soul
Mulzim 1963 Mp3 Songs,1963,Bollywood,Asha Bhosle,None,NoneAsha Bhosle,Soul
Mummy Daddy 1963 Mp3 Songs,1963,Bollywood,"Lata Mangeshkar, Mukesh",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Mukesh",None
Naag Mohini 1963 Mp3 Songs,1963,Bollywood,Suman Kalyanpur,None,NoneSuman Kalyanpur,Soul
